age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,greater_than_50k,greater_than_50k_num
29,Private,HS-grad,Never-married,Sales,White,Female,40,United-States,<=50K,0
61,Private,HS-grad,Married,Tech-support,White,Male,40,United-States,>50K,1
33,Private,HS-grad,Married,Exec-managerial,White,Male,50,United-States,<=50K,0
31,Private,Some-college,Married,Transport-moving,White,Male,40,United-States,>50K,1
48,Private,Some-college,Widowed,Adm-clerical,White,Female,43,United-States,<=50K,0
45,Private,less-HS,Married,Adm-clerical,Black,Female,40,United-States,>50K,1
39,Private,Some-college,Divorced,Farming-fishing,White,Female,45,United-States,<=50K,0
47,Private,HS-grad,Married,Exec-managerial,White,Male,60,United-States,<=50K,0
59,Private,Bachelors,Never-married,Craft-repair,White,Male,50,United-States,<=50K,0
52,government,HS-grad,Divorced,Adm-clerical,White,Female,43,United-States,<=50K,0
33,Private,HS-grad,Never-married,Farming-fishing,White,Male,40,United-States,<=50K,0
55,Private,less-HS,Married,Farming-fishing,White,Male,40,United-States,<=50K,0
50,government,Bachelors,Never-married,Exec-managerial,White,Female,40,United-States,<=50K,0
63,self-employ,HS-grad,Married,Craft-repair,White,Male,30,United-States,<=50K,0
17,government,less-HS,Never-married,Other-service,White,Female,16,United-States,<=50K,0
25,Private,Bachelors,Never-married,Exec-managerial,White,Male,45,United-States,<=50K,0
40,Private,Bachelors,Married,Adm-clerical,White,Female,40,United-States,<=50K,0
29,Private,HS-grad,Married,Sales,White,Female,18,United-States,<=50K,0
21,Private,Some-college,Never-married,Adm-clerical,White,Female,8,United-States,<=50K,0
18,Private,Some-college,Never-married,Sales,White,Male,15,United-States,<=50K,0
26,Private,Bachelors,Married,Prof-specialty,White,Male,50,United-States,>50K,1
36,Private,HS-grad,Divorced,Machine-op-inspct,White,Male,40,United-States,<=50K,0
35,Private,less-HS,Divorced,Craft-repair,Black,Male,40,United-States,<=50K,0
37,Private,Some-college,Married,Craft-repair,White,Male,75,United-States,>50K,1
26,Private,Some-college,Never-married,Exec-managerial,Black,Female,40,United-States,<=50K,0
26,government,Some-college,Married,Other-service,White,Male,40,United-States,<=50K,0
34,government,Assoc,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
29,Private,Some-college,Divorced,Craft-repair,White,Male,40,United-States,<=50K,0
61,Private,HS-grad,Widowed,Craft-repair,Black,Female,50,United-States,<=50K,0
34,Private,HS-grad,Separated,Adm-clerical,White,Female,40,United-States,<=50K,0
18,government,Some-college,Never-married,Sales,White,Female,32,United-States,<=50K,0
40,Private,HS-grad,Married,Farming-fishing,Black,Male,40,United-States,<=50K,0
33,self-employ,HS-grad,Widowed,Sales,White,Female,40,United-States,<=50K,0
25,Private,Bachelors,Never-married,Exec-managerial,White,Male,50,United-States,<=50K,0
24,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
38,Private,HS-grad,Divorced,Adm-clerical,White,Female,48,United-States,<=50K,0
51,Private,less-HS,Married,Craft-repair,White,Male,40,United-States,<=50K,0
27,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
48,Private,Bachelors,Married,Prof-specialty,White,Male,40,United-States,>50K,1
36,self-employ,Doctorate,Married,Prof-specialty,White,Male,35,United-States,<=50K,0
37,self-employ,HS-grad,Divorced,Handlers-cleaners,White,Male,10,United-States,<=50K,0
25,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
50,Private,HS-grad,Married,Machine-op-inspct,White,Male,47,United-States,<=50K,0
25,Private,HS-grad,Married,Exec-managerial,White,Male,84,United-States,>50K,1
51,government,Assoc,Divorced,Adm-clerical,White,Female,50,United-States,<=50K,0
33,Private,Some-college,Married,Handlers-cleaners,White,Male,50,United-States,>50K,1
34,Private,HS-grad,Married,Sales,White,Male,45,United-States,<=50K,0
26,Private,Assoc,Married,Prof-specialty,White,Female,75,United-States,<=50K,0
39,Private,HS-grad,Married,Transport-moving,White,Male,40,United-States,<=50K,0
25,Private,Bachelors,Married,Adm-clerical,White,Female,40,United-States,<=50K,0
19,Private,Some-college,Never-married,Sales,Black,Female,40,United-States,<=50K,0
36,Private,Some-college,Divorced,Exec-managerial,White,Female,4,United-States,<=50K,0
63,self-employ,less-HS,Married,Exec-managerial,White,Male,15,United-States,<=50K,0
38,self-employ,Some-college,Married,Exec-managerial,White,Male,80,United-States,>50K,1
42,Private,Prof-school,Divorced,Prof-specialty,White,Female,39,United-States,>50K,1
45,Private,less-HS,Married,Craft-repair,White,Male,40,United-States,<=50K,0
24,Private,HS-grad,Never-married,Other-service,White,Female,30,United-States,<=50K,0
28,Private,Bachelors,Married,Sales,White,Male,40,United-States,<=50K,0
23,Private,Some-college,Never-married,Sales,Black,Male,9,United-States,<=50K,0
70,Private,HS-grad,Married,Sales,White,Male,40,United-States,<=50K,0
42,Private,HS-grad,Widowed,Transport-moving,White,Male,40,United-States,<=50K,0
27,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0
42,self-employ,Assoc,Married,Prof-specialty,White,Male,40,United-States,<=50K,0
42,government,Prof-school,Married,Exec-managerial,White,Male,55,United-States,>50K,1
31,Private,HS-grad,Married,Machine-op-inspct,Black,Male,40,United-States,<=50K,0
48,Private,HS-grad,Married,Adm-clerical,White,Male,70,United-States,>50K,1
33,Private,HS-grad,Married,Exec-managerial,White,Male,50,United-States,<=50K,0
53,Private,HS-grad,Separated,Transport-moving,White,Male,30,United-States,<=50K,0
50,Private,HS-grad,Married,Craft-repair,White,Male,47,United-States,<=50K,0
49,Private,HS-grad,Separated,Other-service,Black,Female,35,United-States,<=50K,0
22,Private,HS-grad,Married,Sales,White,Male,55,United-States,<=50K,0
64,Private,less-HS,Widowed,Tech-support,White,Female,16,United-States,<=50K,0
30,government,HS-grad,Never-married,Protective-serv,White,Male,40,United-States,<=50K,0
27,Private,Some-college,Widowed,Adm-clerical,White,Female,40,United-States,<=50K,0
52,self-employ,less-HS,Married,Craft-repair,White,Male,35,United-States,<=50K,0
38,Private,HS-grad,Divorced,Machine-op-inspct,White,Male,40,United-States,<=50K,0
52,Private,Bachelors,Widowed,Other-service,White,Female,20,United-States,>50K,1
46,Private,Some-college,Married,Sales,White,Male,40,United-States,<=50K,0
34,self-employ,Some-college,Married,Craft-repair,White,Male,55,United-States,>50K,1
38,Private,HS-grad,Divorced,Sales,White,Female,40,United-States,<=50K,0
39,self-employ,HS-grad,Never-married,Exec-managerial,White,Male,65,United-States,<=50K,0
40,Private,Assoc,Married,Transport-moving,White,Male,40,United-States,<=50K,0
56,government,Some-college,Separated,Other-service,Black,Male,40,United-States,<=50K,0
29,Private,Bachelors,Never-married,Exec-managerial,White,Male,40,United-States,<=50K,0
45,self-employ,Some-college,Married,Exec-managerial,White,Male,80,United-States,<=50K,0
46,government,Assoc,Divorced,Exec-managerial,White,Female,36,United-States,<=50K,0
27,Private,HS-grad,Divorced,Sales,White,Female,40,United-States,<=50K,0
50,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0
35,Private,HS-grad,Never-married,Other-service,White,Male,30,United-States,<=50K,0
51,government,HS-grad,Married,Exec-managerial,White,Male,57,United-States,>50K,1
22,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
60,Private,Some-college,Married,Transport-moving,White,Male,40,United-States,>50K,1
39,Private,less-HS,Divorced,Transport-moving,White,Male,40,United-States,<=50K,0
22,Private,HS-grad,Never-married,Transport-moving,White,Male,35,United-States,<=50K,0
30,Private,HS-grad,Never-married,Sales,White,Female,40,United-States,<=50K,0
27,Private,HS-grad,Never-married,Exec-managerial,White,Male,40,United-States,<=50K,0
54,Private,Assoc,Widowed,Exec-managerial,White,Female,40,United-States,<=50K,0
29,Private,Some-college,Married,Handlers-cleaners,White,Male,20,United-States,<=50K,0
26,self-employ,HS-grad,Married,Other-service,White,Female,20,United-States,<=50K,0
57,Private,less-HS,Married,Sales,White,Male,50,United-States,<=50K,0
28,government,HS-grad,Never-married,Machine-op-inspct,White,Male,48,United-States,<=50K,0
61,government,Some-college,Married,Adm-clerical,White,Male,35,United-States,<=50K,0
48,Private,Assoc,Never-married,Adm-clerical,White,Male,40,United-States,<=50K,0
27,Private,HS-grad,Never-married,Craft-repair,Black,Male,40,United-States,<=50K,0
32,Private,HS-grad,Never-married,Handlers-cleaners,White,Female,30,United-States,<=50K,0
22,self-employ,Some-college,Never-married,Farming-fishing,White,Male,20,United-States,<=50K,0
18,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
60,government,Bachelors,Married,Exec-managerial,White,Male,40,United-States,>50K,1
63,Private,HS-grad,Married,Sales,White,Male,35,United-States,<=50K,0
30,Private,HS-grad,Separated,Machine-op-inspct,Black,Male,40,United-States,<=50K,0
28,Private,HS-grad,Married,Craft-repair,White,Male,40,United-States,<=50K,0
52,self-employ,Masters,Married,Prof-specialty,White,Male,60,United-States,>50K,1
31,Private,Some-college,Married,Farming-fishing,White,Male,50,United-States,>50K,1
58,government,Bachelors,Separated,Prof-specialty,White,Male,40,United-States,>50K,1
28,Private,Some-college,Never-married,Sales,Black,Male,40,United-States,<=50K,0
39,Private,HS-grad,Married,Transport-moving,White,Male,50,United-States,>50K,1
28,Private,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,<=50K,0
43,Private,Masters,Married,Prof-specialty,White,Female,45,United-States,>50K,1
23,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,<=50K,0
24,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0
38,government,Bachelors,Married,Protective-serv,Black,Male,52,United-States,<=50K,0
59,Private,Doctorate,Married,Sales,White,Male,40,United-States,<=50K,0
45,government,Some-college,Divorced,Adm-clerical,Black,Female,35,United-States,<=50K,0
45,government,HS-grad,Divorced,Protective-serv,Black,Female,40,United-States,<=50K,0
53,Private,HS-grad,Married,Transport-moving,White,Male,40,United-States,<=50K,0
51,government,HS-grad,Married,Adm-clerical,White,Female,40,United-States,<=50K,0
23,Private,Some-college,Never-married,Exec-managerial,White,Male,40,United-States,<=50K,0
42,government,Masters,Never-married,Prof-specialty,White,Female,40,United-States,>50K,1
48,self-employ,HS-grad,Married,Farming-fishing,White,Male,50,United-States,<=50K,0
40,self-employ,HS-grad,Married,Other-service,White,Male,45,United-States,<=50K,0
66,self-employ,HS-grad,Married,Adm-clerical,White,Female,40,United-States,>50K,1
23,Private,Bachelors,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
45,Private,HS-grad,Never-married,Other-service,Black,Female,40,United-States,<=50K,0
46,Private,Some-college,Married,Craft-repair,White,Male,40,United-States,<=50K,0
57,government,Bachelors,Married,Tech-support,White,Male,48,United-States,>50K,1
37,Private,HS-grad,Married,Transport-moving,White,Male,42,United-States,<=50K,0
41,Private,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,>50K,1
42,Private,Bachelors,Married,Prof-specialty,White,Male,40,United-States,<=50K,0
19,Private,HS-grad,Never-married,Sales,White,Female,30,United-States,<=50K,0
30,Private,less-HS,Married,Craft-repair,White,Male,45,United-States,<=50K,0
46,government,Some-college,Married,Protective-serv,White,Male,40,United-States,>50K,1
21,Private,Assoc,Never-married,Exec-managerial,White,Male,40,United-States,<=50K,0
49,Private,HS-grad,Divorced,Sales,White,Female,32,United-States,<=50K,0
43,Private,HS-grad,Never-married,Prof-specialty,White,Male,40,United-States,<=50K,0
34,Private,Assoc,Married,Craft-repair,White,Male,44,United-States,<=50K,0
40,government,Assoc,Married,Machine-op-inspct,White,Male,38,United-States,>50K,1
58,self-employ,Some-college,Divorced,Craft-repair,White,Male,40,United-States,<=50K,0
56,Private,less-HS,Married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
37,Private,Assoc,Married,Farming-fishing,White,Male,40,United-States,<=50K,0
24,Private,Bachelors,Never-married,Sales,White,Female,50,United-States,<=50K,0
19,Private,HS-grad,Never-married,Other-service,White,Male,20,United-States,<=50K,0
58,Private,Bachelors,Divorced,Exec-managerial,White,Male,38,United-States,<=50K,0
29,Private,HS-grad,Divorced,Craft-repair,White,Male,40,United-States,<=50K,0
44,government,HS-grad,Married,Other-service,White,Female,15,United-States,<=50K,0
34,Private,Bachelors,Never-married,Prof-specialty,White,Female,45,United-States,<=50K,0
49,self-employ,Bachelors,Married,Farming-fishing,White,Male,70,United-States,<=50K,0
48,Private,Assoc,Divorced,Other-service,White,Female,40,United-States,<=50K,0
34,self-employ,HS-grad,Married,Farming-fishing,White,Male,90,United-States,<=50K,0
44,self-employ,Prof-school,Married,Prof-specialty,White,Male,50,United-States,>50K,1
29,Private,HS-grad,Married,Transport-moving,White,Male,60,United-States,<=50K,0
30,Private,Bachelors,Married,Prof-specialty,White,Male,40,United-States,>50K,1
49,Private,HS-grad,Married,Sales,White,Male,40,United-States,<=50K,0
53,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0
33,Private,Assoc,Divorced,Machine-op-inspct,White,Female,42,United-States,<=50K,0
29,self-employ,HS-grad,Married,Sales,White,Female,25,United-States,>50K,1
32,Private,Some-college,Married,Sales,White,Male,50,United-States,<=50K,0
26,self-employ,HS-grad,Never-married,Prof-specialty,Black,Female,40,United-States,<=50K,0
22,Private,less-HS,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
49,Private,Prof-school,Never-married,Prof-specialty,White,Female,55,United-States,>50K,1
29,Private,Some-college,Never-married,Handlers-cleaners,Black,Male,37,United-States,<=50K,0
52,government,Bachelors,Married,Prof-specialty,White,Male,40,United-States,>50K,1
46,self-employ,HS-grad,Married,Sales,White,Female,40,United-States,>50K,1
21,Private,Some-college,Never-married,Machine-op-inspct,White,Female,70,United-States,<=50K,0
63,self-employ,Masters,Married,Farming-fishing,White,Male,50,United-States,<=50K,0
40,Private,Some-college,Married,Craft-repair,White,Male,40,United-States,<=50K,0
33,Private,HS-grad,Never-married,Transport-moving,White,Male,40,United-States,<=50K,0
46,self-employ,Bachelors,Married,Sales,White,Male,40,United-States,>50K,1
42,Private,Bachelors,Divorced,Prof-specialty,White,Male,40,United-States,<=50K,0
41,government,Masters,Married,Prof-specialty,White,Male,60,United-States,<=50K,0
38,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,United-States,<=50K,0
49,Private,HS-grad,Married,Craft-repair,White,Male,45,United-States,>50K,1
34,self-employ,HS-grad,Never-married,Craft-repair,White,Male,45,United-States,>50K,1
27,Private,Some-college,Married,Sales,White,Male,40,United-States,<=50K,0
38,Private,Some-college,Married,Craft-repair,White,Male,40,United-States,>50K,1
46,Private,Some-college,Divorced,Prof-specialty,White,Female,40,United-States,<=50K,0
40,government,Bachelors,Married,Prof-specialty,White,Male,48,United-States,<=50K,0
26,Private,HS-grad,Never-married,Adm-clerical,Black,Male,40,United-States,<=50K,0
20,Private,Some-college,Never-married,Other-service,White,Female,30,United-States,<=50K,0
23,government,Bachelors,Never-married,Prof-specialty,White,Male,40,United-States,>50K,1
21,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
62,Private,Assoc,Married,Tech-support,White,Male,40,United-States,>50K,1
25,Private,less-HS,Married,Tech-support,White,Male,40,United-States,<=50K,0
40,Private,HS-grad,Married,Transport-moving,White,Male,40,United-States,>50K,1
44,government,Some-college,Married,Craft-repair,White,Male,40,United-States,<=50K,0
43,Private,HS-grad,Divorced,Exec-managerial,White,Female,30,United-States,>50K,1
67,self-employ,HS-grad,Divorced,Exec-managerial,White,Female,16,United-States,<=50K,0
58,government,HS-grad,Married,Exec-managerial,White,Male,50,United-States,<=50K,0
23,Private,Some-college,Married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
41,Private,HS-grad,Married,Transport-moving,White,Male,45,United-States,>50K,1
34,self-employ,Doctorate,Married,Prof-specialty,White,Male,50,United-States,>50K,1
48,self-employ,Some-college,Never-married,Craft-repair,White,Male,45,United-States,<=50K,0
42,Private,HS-grad,Married,Sales,White,Male,40,United-States,<=50K,0
51,self-employ,Masters,Married,Prof-specialty,White,Female,30,United-States,>50K,1
42,government,Masters,Never-married,Exec-managerial,White,Female,60,United-States,>50K,1
44,Private,HS-grad,Divorced,Prof-specialty,White,Male,40,United-States,<=50K,0
33,government,Bachelors,Never-married,Prof-specialty,White,Female,50,United-States,>50K,1
25,Private,Bachelors,Never-married,Farming-fishing,White,Male,50,United-States,>50K,1
36,government,Masters,Never-married,Prof-specialty,Black,Female,40,United-States,<=50K,0
52,Private,Some-college,Married,Exec-managerial,White,Male,60,United-States,<=50K,0
35,Private,Bachelors,Married,Sales,White,Male,60,United-States,>50K,1
31,Private,HS-grad,Separated,Other-service,White,Female,40,United-States,<=50K,0
27,Private,HS-grad,Never-married,Adm-clerical,White,Male,40,United-States,<=50K,0
44,Private,Bachelors,Married,Craft-repair,White,Male,50,United-States,>50K,1
33,Private,Assoc,Never-married,Prof-specialty,Black,Female,26,United-States,<=50K,0
30,Private,Some-college,Never-married,Adm-clerical,White,Male,45,United-States,<=50K,0
61,Private,Some-college,Married,Exec-managerial,White,Male,45,United-States,>50K,1
24,Private,Assoc,Divorced,Other-service,White,Female,30,United-States,<=50K,0
29,Private,less-HS,Never-married,Other-service,Black,Female,40,United-States,<=50K,0
24,Private,Assoc,Married,Craft-repair,White,Male,40,United-States,<=50K,0
33,self-employ,HS-grad,Married,Transport-moving,White,Male,45,United-States,<=50K,0
32,Private,Some-college,Married,Exec-managerial,White,Male,40,United-States,<=50K,0
56,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0
31,Private,less-HS,Divorced,Other-service,White,Female,21,United-States,<=50K,0
39,government,HS-grad,Never-married,Other-service,Black,Female,40,United-States,<=50K,0
44,Private,Bachelors,Married,Exec-managerial,White,Male,40,United-States,>50K,1
47,Private,Bachelors,Never-married,Sales,Black,Male,60,United-States,>50K,1
47,government,Assoc,Married,Adm-clerical,White,Male,40,United-States,>50K,1
41,Private,Doctorate,Divorced,Sales,White,Female,50,United-States,>50K,1
51,government,Some-college,Widowed,Adm-clerical,White,Female,40,United-States,<=50K,0
31,Private,less-HS,Married,Exec-managerial,White,Female,40,United-States,<=50K,0
40,Private,HS-grad,Married,Machine-op-inspct,White,Male,50,United-States,<=50K,0
50,Private,HS-grad,Married,Exec-managerial,Black,Male,55,United-States,>50K,1
40,Private,less-HS,Married,Exec-managerial,White,Male,40,United-States,>50K,1
26,Private,Some-college,Never-married,Handlers-cleaners,Black,Female,20,United-States,<=50K,0
41,government,Masters,Married,Prof-specialty,White,Male,75,United-States,>50K,1
47,Private,HS-grad,Separated,Prof-specialty,Black,Female,38,United-States,>50K,1
31,Private,Bachelors,Married,Sales,White,Male,55,United-States,<=50K,0
35,Private,Assoc,Divorced,Prof-specialty,Black,Male,40,United-States,<=50K,0
72,Private,Assoc,Separated,Other-service,White,Female,25,United-States,<=50K,0
51,Private,Some-college,Married,Craft-repair,White,Male,40,United-States,>50K,1
52,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,United-States,>50K,1
26,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,United-States,<=50K,0
49,government,Some-college,Divorced,Adm-clerical,White,Female,50,United-States,<=50K,0
43,government,Some-college,Divorced,Adm-clerical,Black,Female,40,United-States,<=50K,0
23,Private,HS-grad,Never-married,Adm-clerical,White,Female,30,United-States,<=50K,0
29,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
44,Private,HS-grad,Never-married,Transport-moving,White,Male,70,United-States,<=50K,0
20,Private,Some-college,Never-married,Other-service,White,Female,25,United-States,<=50K,0
68,Private,less-HS,Married,Sales,White,Male,16,United-States,<=50K,0
34,Private,Some-college,Married,Exec-managerial,White,Male,55,United-States,>50K,1
20,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
30,Private,Some-college,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0
31,government,HS-grad,Never-married,Protective-serv,White,Male,40,United-States,<=50K,0
38,government,HS-grad,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0
68,Private,HS-grad,Widowed,Adm-clerical,White,Female,30,United-States,<=50K,0
31,government,Some-college,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0
23,Private,Masters,Never-married,Sales,White,Female,20,United-States,<=50K,0
41,self-employ,Some-college,Married,Farming-fishing,White,Male,54,United-States,>50K,1
51,government,Masters,Divorced,Exec-managerial,White,Female,40,United-States,<=50K,0
24,Private,less-HS,Married,Craft-repair,White,Male,38,United-States,<=50K,0
29,Private,HS-grad,Never-married,Other-service,White,Female,30,United-States,<=50K,0
34,Private,HS-grad,Married,Transport-moving,White,Male,55,United-States,<=50K,0
55,government,HS-grad,Married,Protective-serv,White,Male,40,United-States,<=50K,0
35,self-employ,Masters,Married,Adm-clerical,White,Male,50,United-States,<=50K,0
23,Private,Some-college,Never-married,Prof-specialty,White,Male,45,United-States,<=50K,0
50,Private,Prof-school,Married,Prof-specialty,White,Male,36,United-States,>50K,1
19,Private,Some-college,Never-married,Other-service,White,Male,20,United-States,<=50K,0
25,self-employ,Some-college,Divorced,Adm-clerical,White,Female,50,United-States,<=50K,0
31,Private,HS-grad,Married,Craft-repair,White,Male,40,United-States,<=50K,0
36,government,HS-grad,Married,Transport-moving,White,Male,40,United-States,<=50K,0
26,Private,Assoc,Never-married,Sales,White,Male,55,United-States,<=50K,0
43,self-employ,Bachelors,Married,Sales,White,Male,45,United-States,>50K,1
52,self-employ,HS-grad,Married,Transport-moving,White,Male,22,United-States,<=50K,0
29,Private,HS-grad,Never-married,Exec-managerial,Black,Female,40,United-States,<=50K,0
37,Private,Assoc,Separated,Prof-specialty,White,Female,38,United-States,<=50K,0
43,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0
32,self-employ,HS-grad,Married,Sales,White,Male,50,United-States,<=50K,0
42,government,Some-college,Married,Protective-serv,Black,Male,48,United-States,<=50K,0
42,Private,Bachelors,Married,Prof-specialty,White,Male,40,United-States,>50K,1
31,Private,Some-college,Married,Exec-managerial,White,Male,50,United-States,<=50K,0
24,self-employ,HS-grad,Never-married,Craft-repair,White,Male,50,United-States,<=50K,0
30,Private,Prof-school,Never-married,Prof-specialty,White,Female,45,United-States,<=50K,0
36,Private,Masters,Married,Exec-managerial,White,Male,40,United-States,>50K,1
46,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,United-States,<=50K,0
40,Private,HS-grad,Divorced,Handlers-cleaners,White,Female,48,United-States,<=50K,0
30,government,Bachelors,Married,Protective-serv,White,Male,40,United-States,<=50K,0
38,Private,Some-college,Married,Exec-managerial,White,Male,44,United-States,>50K,1
41,Private,Some-college,Married,Sales,Black,Female,40,United-States,<=50K,0
31,Private,Some-college,Never-married,Exec-managerial,White,Male,40,United-States,<=50K,0
41,Private,Some-college,Married,Adm-clerical,White,Female,40,United-States,>50K,1
39,government,Assoc,Never-married,Prof-specialty,White,Male,40,United-States,>50K,1
25,Private,Some-college,Never-married,Craft-repair,White,Male,55,United-States,<=50K,0
19,Private,HS-grad,Never-married,Craft-repair,White,Female,40,United-States,<=50K,0
29,Private,Assoc,Married,Tech-support,White,Female,40,United-States,<=50K,0
