post_code,seq_key,fips,pub_seq,lib_code,name,addr,city,zip,zip4,phone,service_pop,num_main,num_branch,num_bookmobile,num_other,fte_lib_ms,fte_lib,fte_other,fte_tot,inc_local,inc_state,inc_fed,inc_other,inc_total,opx_sal,opx_ben,opx_tot_st,opx_tot_cl,opx_oth,opx_total,cap_outlay,col_books,col_audio,col_film,col_video,col_c_serial,pshours,attendance,reference_trans,circulation,ill_out,ill_in
AL,0022,01,0022,102-001,Abbeville Memorial,301 Kirkland Street,Abbeville,36310,,2055852818,2860,1,0,0,0,-1,-1,-1,2,47037,2171,948,5638,55794,21499,1510,23009,5770,9849,38628,NA,18019,277,47,39,20,2150,NA,554,35827,15,72
AL,0023,01,0023,102-002,Ariton,Main Street,Ariton,36311,,2057622323,870,1,0,0,0,-1,-1,-1,0.4,3197,214,0,566,3977,2106,364,2470,713,882,4065,NA,2610,0,0,0,0,700,NA,77,3292,5,11
AL,0024,01,0024,102-003,Blanche R. Solomon Memorial,Town Square,Headland,36345,,2056932706,3400,1,0,0,0,-1,-1,-1,2,29845,2019,891,4800,37555,17149,2865,20014,5307,10474,35795,NA,15385,235,173,0,28,2200,NA,1219,22650,28,42
AL,0025,01,0025,102-004,Tupper Lightfoot Memorial,Main Street,Brundidge,36010,,2057352145,3320,1,0,0,0,-1,-1,-1,1.5,24711,2699,0,2135,29545,12958,1013,13971,4609,10373,28953,NA,13693,143,28,16,29,1000,NA,315,7281,10,15
AL,0026,01,0026,102-005,Ozark-Dale County War Memorial Library,320 James Street,Ozark,36360,,2057745480,15510,1,0,0,0,-1,-1,-1,2.9,55000,18252,0,24000,97252,33283,4913,38196,18252,12084,68532,NA,48868,640,0,0,43,2000,NA,715,66695,186,NA
AL,0027,01,0027,102-006,Daleville,Warhawk Drive,Daleville,36322,,2055983111,5710,1,0,0,0,-1,-1,-1,0.8,7542,0,0,220,7762,5928,0,5928,1200,574,7702,200,4573,NA,0,3,0,1500,NA,5,1015,NA,48
AL,0028,01,0028,102-007,Eufaula Carnegie,217 North Eufaula Avenue,Eufaula,36027,,2056872337,12880,1,1,0,0,-1,-1,-1,4.5,112900,14804,0,412192,539896,58610,11885,70495,13137,27467,111099,565209,15649,1061,93,302,104,2150,NA,251,106656,25,111
AL,0029,01,0029,102-008,Elton B. Stephens,Rt 1 Box 374A,Clio,36017,,2053972586,1190,1,0,0,0,-1,-1,-1,0.5,4300,829,0,145,5274,3114,0,3114,829,1186,5129,NA,2440,NA,0,1,0,1000,NA,22,1252,1,NA
AL,0030,01,0030,102-009,Louisville,P. O. Box 125,Louisville,36048,,2052665210,840,1,0,0,0,-1,-1,-1,1,5220,0,0,106,5326,3912,288,4200,562,500,5262,0,4130,0,0,0,0,2000,NA,158,4130,6,65
AL,0031,01,0031,102-010,Mary Berry Brown Memorial,Woolfolk and 3rd Avenue,Midland City,36350,,2059833511,2290,1,0,0,0,-1,-1,-1,1,7925,0,3880,797,12602,9008,632,9640,278,1195,11113,275,7803,65,20,10,24,1250,NA,382,11335,4,3
AL,0032,01,0032,102-011,Newton,P. O. Box 458,Newton,36352,,2052993316,1660,1,0,0,0,-1,-1,-1,0.7,9014,1931,948,1000,12893,6899,505,7404,3749,2178,13331,NA,13213,0,0,4,6,1500,NA,87,5516,1,58
AL,0033,01,0033,102-012,Town and County,P. O. Box 518,Clayton,36016,,2057753506,1600,1,0,0,0,-1,-1,-1,1,6000,0,0,0,6000,3300,0,3300,2695,1152,7147,NA,10822,22,0,2,20,1000,NA,185,3031,5,68
AL,0034,01,0034,102-013,Troy,500 East Elm Street,Troy,36081,,2055661314,12700,1,0,0,0,-1,-1,-1,4,164090,10000,3792,8814,186696,55832,12184,68016,63665,48356,180037,NA,27941,174,42,17,154,2200,NA,3785,285895,56,366
AL,0035,01,0035,102-014,Union Springs,103 North Prairie Street,Union Springs,36089,,2057382760,4870,1,0,0,0,-1,-1,-1,0.9,13790,2977,0,898,17665,7881,508,8389,591,4312,13292,NA,11354,NA,0,0,18,1500,NA,803,8258,1,35
AL,0036,01,0036,103-000,Cross Trails Regional,1604 North Main Street,Opp,36467,,2054939355,49410,1,0,0,0,-1,-1,-1,5,33000,77398,20825,7720,138943,77184,18609,95793,4895,20048,120736,NA,67617,3085,1459,5,90,2250,NA,121,7536,1290,813
AL,0037,01,0037,103-001,Andalusia,212 South Three Notch Street,Andalusia,36420,,2052226612,11090,1,0,0,0,-1,-1,-1,4.5,99424,9934,0,26203,135561,0,72661,72661,27794,30171,130626,NA,25089,360,476,230,62,2275,NA,4049,50898,18,417
AL,0038,01,0038,103-002,Brantley,10 Main Street,Brantley,36009,,2055278624,1150,1,0,0,0,-1,-1,-1,0.6,3552,987,0,NA,4539,2205,0,2205,1490,890,4585,NA,3076,0,0,1,15,600,NA,53,2043,3,59
AL,0039,01,0039,103-003,Elba,603 Collier Street,Elba,36323,,2058976921,4160,1,0,0,0,-1,-1,-1,1.6,11607,3735,0,640,15982,9853,0,9853,4271,2368,16492,NA,1420,NA,0,4,18,1475,NA,305,5376,25,NA
AL,0040,01,0040,103-004,Emma Knox Kenan,312 South Commerce Street,Geneva,36340,,2056842459,4620,1,0,0,0,-1,-1,-1,2,26434,4315,8342,6432,45523,18525,0,18525,7280,10454,36259,NA,16098,0,0,0,24,2000,NA,391,16215,57,161
AL,0041,01,0041,103-005,Enterprise,110 East College Street,Enterprise,36330,,2053472636,19630,1,0,0,0,-1,-1,-1,4.3,82017,15990,0,11556,109563,71500,0,71500,14991,12526,99017,0,24450,1255,313,0,52,2375,NA,3000,68273,35,98
AL,0042,01,0042,103-006,Florala,510 North 4th Street,Florala,36442,,2058583525,1720,1,0,0,0,-1,-1,-1,1.5,19665,2405,1075,1799,24944,13228,0,13228,4660,6965,24853,NA,11840,410,122,4,37,2000,NA,3983,12868,3,65
AL,0043,01,0043,103-007,Hartford,203 West Main Street,Hartford,36344,,2055882384,2560,1,0,0,0,-1,-1,-1,1.5,24619,2270,0,197,27086,14650,2000,16650,6262,2593,25505,500,17494,33,0,36,35,2000,NA,1228,17260,0,43
AL,0044,01,0044,103-008,Luverne,South Glenwood Avenue,Luverne,36049,,2053356568,2470,1,0,0,0,-1,-1,-1,1.7,18125,2425,0,980,21530,12622,1670,14292,3540,3406,21238,291,23138,154,172,2,25,1500,NA,12010,20653,0,125
AL,0045,01,0045,103-009,Opp Public Library,P. O. Drawer 717,Opp,36467,,2054936423,13010,1,0,0,0,-1,-1,-1,3,54953,6388,0,5682,67023,39792,6608,46400,6787,12913,66100,0,16056,251,47,3,52,2350,NA,2434,29724,35,1040
AL,0046,01,0046,103-010,Samson,200 North Johnson,Samson,36477,,2058987806,2140,1,0,0,0,-1,-1,-1,2,7679,2060,0,245,9984,4681,0,4681,2813,2385,9879,NA,8003,162,0,0,8,1000,NA,79,3609,2,17
AL,0047,01,0047,103-011,Slocomb,P. O. Box 330,Slocomb,36375,,2058862334,2300,1,0,0,0,-1,-1,-1,0.5,8315,2067,0,10000,20382,4454,1490,5944,1257,2240,9441,6225,7476,NA,0,0,9,1000,NA,157,7517,0,16
AL,0048,01,0048,104-000,Horseshoe Bend Regional,203 West Street,Dadeville,36853,,2058259232,91290,1,0,2,0,-1,-1,-1,7.5,49676,162203,19656,8878,240413,102408,14492,116900,35515,56046,208461,NA,131990,313,261,240,36,2250,NA,360,78463,1886,1338
AL,0049,01,0049,104-001,Adelia McConnell Russell,115 Church Street,Alexander City,35010,,2053298426,14460,1,0,0,0,-1,-1,-1,4,100484,2961,4308,11218,118971,53357,10672,64029,27324,16400,107753,0,21847,69,0,85,78,2750,NA,4611,23705,0,468
AL,0050,01,0050,104-002,Dadeville Public Library,203 West Street,Dadeville,36853,,2058257820,3150,1,0,0,0,-1,-1,-1,2.5,36745,6346,834,11682,55607,26640,2430,29070,15669,14863,59602,2350,6265,808,0,1,10,2000,NA,1560,7832,0,1314
AL,0051,01,0051,104-003,Goodwater,Weogufka Street,Goodwater,35072,,2058395741,1780,1,0,0,0,-1,-1,-1,1,19375,3879,0,674,23928,12300,709,13009,4410,6335,23754,NA,5245,152,0,2,14,2000,NA,144,3859,6,58
AL,0052,01,0052,104-004,Auburn,161 North Ross Street,Auburn,36830,,2058874997,29030,1,0,0,0,-1,-1,-1,7.5,272670,4700,0,7000,284370,155408,35579,190987,41700,42945,275632,8738,23644,1495,33,276,76,2700,NA,9628,101829,30,476
AL,0053,01,0053,104-005,Lewis Cooper Jr. Memorial,220 South 6th Street,Opelika,36801,,2057491426,24660,1,0,0,0,-1,-1,-1,6,279240,4556,1668,12470,297934,126000,19408,145408,49556,13100,208064,67000,54097,NA,0,0,74,3250,NA,8500,46548,18,100
AL,0054,01,0054,104-006,Millbrook,P. O. Box 525,Millbrook,36054,,2052856688,6390,1,0,0,0,-1,-1,-1,1,29900,3812,0,NA,33712,13488,4000,17488,6709,4222,28419,4801,12200,NA,0,0,6,2000,NA,2832,18193,0,138
AL,0055,01,0055,104-007,Rockford,110 Main Street,Rockford,35136,,2053774911,520,1,0,0,0,-1,-1,-1,1,13727,4962,0,2963,21652,6000,1344,7344,5722,6883,19949,NA,3169,4,0,26,16,1750,NA,9,2013,2,108
AL,0056,01,0056,104-008,Tallassee,102 South Freeman Avenue,East Tallassee,36023,,2052832732,5740,1,0,0,0,-1,-1,-1,1,49376,3000,0,1000,53376,9748,2500,12248,8080,32900,53228,NA,13380,150,0,0,14,1500,NA,812,13920,5,192
AL,0057,01,0057,104-009,Wetumpka,212 South Main Street,Wetumpka,36092,,2055671308,5570,1,0,0,0,-1,-1,-1,3,52460,4094,0,1137,57691,35011,7356,42367,9074,6250,57691,NA,19450,412,0,12,22,2700,NA,3604,39191,15,139
AL,0058,01,0058,105-000,Muscle Shoals Regional,218 North Wood Avenue,Florence,35630,,2057646563,67510,1,0,0,1,-1,-1,-1,7,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2400,NA,NA,NA,NA,NA
AL,0059,01,0059,105-001,Florence-Lauderdale Public Library,218 North Wood Avenue,Florence,35630,,2057646563,34850,1,0,0,0,-1,-1,-1,11,135780,62253,6307,37232,241572,66738,18823,85561,52081,113015,250657,181710,64427,382,0,16,116,2650,NA,11129,179052,1802,809
AL,0060,01,0060,105-002,Helen Keller,511 North Main Street,Tuscumbia,35674,,2053837065,8510,1,0,0,0,-1,-1,-1,3,33201,12258,3015,6941,55415,13132,3704,16836,13375,25204,55415,NA,20956,203,14,2,35,2000,NA,2846,33523,131,115
AL,0061,01,0061,105-003,Leighton,P. O. Box 484,Leighton,35646,,2054465380,1320,1,0,0,0,-1,-1,-1,0.5,16416,9254,1067,3871,30608,6800,756,7556,9005,14046,30607,NA,8974,90,0,0,18,1000,NA,562,6860,21,28
AL,0062,01,0062,105-004,Muscle Shoals City,1010 East Avalon Avenue,Muscle Shoals,35661,,2053869212,9630,1,0,0,0,-1,-1,-1,1.5,35659,12258,0,5302,53219,13748,3878,17626,7796,27798,53220,0,16852,131,0,0,32,2000,NA,5275,37280,120,101
AL,0063,01,0063,105-005,Rogersville,116 Bank Street,Rogersville,35652,,2052470151,1200,1,0,0,0,-1,-1,-1,1,29032,8893,2975,3361,44261,12623,2953,15576,10025,18157,43758,NA,21917,95,87,11,21,2000,NA,3317,30732,75,14
AL,0064,01,0064,105-006,Sheffield,316 North Montgomery Avenue,Sheffield,35660,,2053865633,10490,1,0,0,0,-1,-1,-1,2.8,62157,15263,6275,13876,97571,32680,9218,41898,22974,32700,97572,NA,35728,994,30,5,68,2650,NA,3900,64911,167,104
AL,0065,01,0065,106-000,Northwest Regional,130 North 1st Street,Winfield,35594,,2054872330,45340,1,0,1,12,-1,-1,-1,5,48221,87215,0,4684,140120,61583,12165,73748,25639,25954,125341,0,54129,177,334,0,9,2000,NA,7,26281,990,1242
AL,0066,01,0066,106-001,Clyde Nix,P. O. Box 131,Hamilton,35570,,2059214290,5540,1,0,0,1,-1,-1,-1,0.9,18016,0,0,5176,23192,8570,3001,11571,4218,7042,22831,NA,8749,7,0,2,23,1700,NA,135,16554,1,75
AL,0067,01,0067,106-002,Kennedy,P. O. Box 70,Kennedy,35574,,2055963670,600,1,0,0,0,-1,-1,-1,0.6,2260,0,0,2,2262,1200,0,1200,NA,1060,2260,0,2683,0,0,0,24,1200,NA,NA,1081,NA,109
AL,0068,01,0068,106-003,MCHS Community,"1606 11th Street, N",Guin,35563,,2054682544,2480,1,0,0,0,-1,-1,-1,1,8940,0,0,25148,34088,30841,342,31183,2885,805,34873,0,12557,290,972,202,89,2350,NA,NA,9350,0,71
AL,0069,01,0069,106-004,Millport,Columbus Street,Millport,35576,,2056624286,1380,1,0,0,0,-1,-1,-1,0.1,9397,0,0,5000,14397,6300,0,6300,200,2055,8555,580,7000,0,0,0,5,1600,NA,40,7642,0,701
AL,0070,01,0070,106-005,Russellville,310 West Lawrence Street,Russellville,35653,,2053321535,8210,1,0,0,0,-1,-1,-1,1,15500,0,0,1800,17300,7340,560,7900,4050,5350,17300,NA,12220,NA,0,0,17,1750,NA,716,13571,1,271
AL,0071,01,0071,106-006,Sulligent,Vernon Street,Sulligent,35586,,2056988631,2040,1,0,0,0,-1,-1,-1,1,16468,0,0,5822,22290,7514,2354,9868,2161,6989,19018,NA,9570,134,0,1,8,2000,NA,20,13569,0,33
AL,0072,01,0072,106-007,Vernon,P. O. Box 357,Vernon,35592,,2056957718,2590,1,0,0,0,-1,-1,-1,0.7,10383,0,0,5415,15798,9483,0,9483,1830,417,11730,NA,4065,NA,0,0,1,1375,NA,93,12576,1,8
AL,0073,01,0073,106-008,Weatherford,"Route 2, Box 730",Red Bay,35582,,2053569255,2920,1,0,0,0,-1,-1,-1,0.6,17135,0,0,1460,18595,7763,1940,9703,1549,6672,17924,NA,8994,NA,0,0,8,1200,NA,137,13945,3,22
AL,0074,01,0074,106-009,Winfield,"130 North 1st Street, E",Winfield,35594,,2054872484,3700,1,0,0,0,-1,-1,-1,1.5,57762,0,0,3056,60818,9061,0,9061,6418,43873,59352,NA,17082,NA,0,30,42,2150,NA,252,28930,52,42
AL,0075,01,0075,107-000,Wheeler Basin Regional,"504 Cherry Street, NE",Decatur,35602,,2053532993,82220,1,2,0,3,-1,-1,-1,10.1,131753,83638,29656,10139,255186,151664,28068,179732,11680,53774,245186,NA,11456,NA,0,0,0,3350,NA,357,21481,1875,1274
AL,0076,01,0076,107-001,Athens,405 East South Street,Athens,35611,,2052321233,16010,1,0,0,0,-1,-1,-1,2.8,58132,34702,14007,15726,122567,28954,3672,32626,34707,56548,123881,NA,19676,327,0,149,50,2550,NA,2803,56046,NA,NA
AL,0077,01,0077,107-002,Decatur Public Library,"504 Cherry Street, NE",Decatur,35602,,2053532993,46090,1,0,0,0,-1,-1,-1,14.4,393550,59018,9480,48875,510923,165140,29766,194906,128547,182458,505911,NA,73747,2766,0,1274,161,3850,NA,18547,274337,NA,NA
AL,0078,01,0078,107-003,Hartselle,106 Sherrill Street,Hartselle,35640,,2057739880,9980,1,0,0,0,-1,-1,-1,2.8,51911,7331,8911,11310,79463,24417,2573,26990,27023,23402,77415,NA,18705,42,0,12,41,2450,NA,3285,44513,NA,NA
AL,0079,01,0079,107-004,Lawrence County,401 College Street,Moulton,35650,,2059740883,31200,1,0,0,0,-1,-1,-1,1.9,49407,21139,8342,8083,86971,16872,1754,18626,27264,39250,85140,NA,19136,236,0,0,30,2475,NA,3620,32484,NA,NA
AL,0080,01,0080,500-000,Baldwin County,22743 Milwaukee Street,Robertsdale,36567,,2059477632,63930,1,0,1,0,-1,-1,-1,4,38500,77338,0,645,116483,30434,2634,33068,1579,47314,81961,NA,16512,566,250,0,6,2100,NA,701,5518,44,154
AL,0081,01,0081,500-001,Daphne,P. O. Box 357,Daphne,36526,,2056212818,4520,1,0,0,0,-1,-1,-1,1.5,31943,3645,0,2864,38452,21580,3650,25230,3076,4851,33157,NA,24002,NA,0,0,29,2250,NA,3842,25317,11,40
AL,0082,01,0082,500-002,Fairhope,161 North Section Street,Fairhope,36532,,2059287483,8270,1,0,0,0,-1,-1,-1,4.5,102133,6967,0,23110,132210,59837,4686,64523,29501,23928,117952,5632,42974,1178,28,51,126,2600,NA,4123,100179,24,183
AL,0083,01,0083,500-003,Foley,319 East Laurel Avenue,Foley,36535,,2059437665,5020,1,0,0,0,-1,-1,-1,5,105235,4020,0,16252,125507,61264,14838,76102,19243,18946,114291,8860,25911,535,0,36,59,2900,NA,6959,93279,63,326
AL,0084,01,0084,500-004,Hampton D. Ewing,119 West 2nd Street,Bay Minette,36507,,2059377947,7760,1,0,0,0,-1,-1,-1,2.2,18000,7177,0,11532,36709,7500,0,7500,12370,3198,23068,NA,31151,NA,40,4,25,2000,NA,5274,49547,6,106
AL,0085,01,0085,500-005,Loxley,101 Loxley Avenue,Loxley,36551,,2059645695,910,1,0,0,0,-1,-1,-1,1,19510,1175,0,161,20846,8750,3870,12620,1034,5265,18919,1195,6782,0,0,0,12,1350,NA,NA,1373,20,25
AL,0086,01,0086,500-006,Oscar Johnson Memorial,P. O. Box 185,Silverhill,36576,,2059473220,630,1,0,0,0,-1,-1,-1,1,1497,949,0,478,2924,240,0,240,1181,932,2353,NA,5948,3,0,0,2,1000,NA,NA,2505,0,0
AL,0087,01,0087,500-007,Robertsdale,18301 Pennsylvania Street,Robertsdale,36567,,2059475720,2540,1,0,0,0,-1,-1,-1,2.9,75825,2136,0,2056,80017,44000,7785,51785,13136,5240,70161,518,16727,332,0,7,46,2650,NA,5023,54605,NA,384
AL,0088,01,0088,500-008,Thomas B. Norton,221 West 19th Avenue,Gulf Shores,36542,,2059687394,2830,1,0,0,0,-1,-1,-1,2.5,77766,2119,0,11768,91653,42581,7647,50228,16796,12850,79874,11779,21754,259,40,120,61,2350,NA,963,70256,28,274
AL,0089,01,0089,501-000,Birmingham-Jefferson County,2100 Park Place,Birmingham,35203,,2052263611,165670,1,0,0,0,-1,-1,-1,3,1000000,288245,0,0,1288245,115000,0,115000,60000,669957,844957,115043,NA,NA,0,0,44541,3100,NA,247080,3091318,18496,17916
AL,0090,01,0090,501-001,Adamsville,1984 Forestdale Blvd.,Birmingham,35214,,2057986333,4760,1,0,0,0,-1,-1,-1,1.5,46171,3022,0,418,49611,20548,1666,22214,5129,22174,49517,94,16984,NA,0,0,25,2250,NA,1422,44626,NA,NA
AL,0091,01,0091,505-002,Bessemer,400 North 19th Street,Bessemer,35020,,2054287882,37530,1,0,0,0,-1,-1,-1,9,202000,32390,440,25206,260036,127077,33025,160102,49407,26704,236213,0,62685,209,0,0,108,2900,NA,16918,106276,420,317
AL,0092,01,0092,501-003,Emmet O'Neal,50 Oak Street,Mountain Brook,35213,,2058790459,20760,1,0,0,0,-1,-1,-1,15,438697,19015,8911,128570,595193,221891,62637,284528,63726,85719,433973,894,72691,803,0,1388,114,3250,NA,53749,139497,1296,836
AL,0093,01,0093,501-004,Walter J. Hanna Memorial,4615 Gary Avenue,Fairfield,35064,,2057870425,12800,1,0,0,0,-1,-1,-1,2.8,65000,10604,0,11435,87039,31222,0,31222,11669,31531,74422,0,24260,0,0,160,30,2400,NA,1345,11396,282,998
AL,0094,01,0094,501-005,Fultondale,1015 Walker Chapel Road,Fultondale,35068,,2058496335,6400,1,0,0,0,-1,-1,-1,2,75992,5991,0,8982,90965,34514,8381,42895,10398,36277,89570,1396,23583,0,0,0,52,2550,NA,5569,46585,645,343
AL,0095,01,0095,501-006,Gardendale,995 Mt. Olive Road,Gardendale,35071,,2056316639,9590,1,0,0,0,-1,-1,-1,4.5,413686,8208,0,51016,472910,61055,12661,73716,18877,39745,132338,569623,31501,61,42,6,68,2550,NA,12719,76030,49,208
AL,0096,01,0096,501-007,Graysville,315 South Main Street,Graysville,35073,,2056743040,3090,1,0,0,0,-1,-1,-1,2,71000,2319,0,3743,77062,36395,15074,51469,9476,13705,74650,0,13235,NA,0,0,54,2175,NA,3638,54965,NA,NA
AL,0097,01,0097,501-008,Homewood,1721 Oxmoor Road,Homewood,35209,,2058778661,21230,1,0,0,0,-1,-1,-1,19.7,578218,8620,0,12586,599424,328860,73266,402126,83490,66555,552171,45943,66885,1610,107,2149,212,3350,NA,34356,244330,963,849
AL,0098,01,0098,501-009,Hoover,1699 Montgomery Highway,Hoover,35216,,2059785528,27110,1,0,0,0,-1,-1,-1,24.5,832800,27492,500,43723,904515,495500,94200,589700,129202,140923,859825,40000,48313,2696,100,1797,214,3300,NA,79911,493093,246,1435
AL,0099,01,0099,501-010,Hueytown,1372 Hueytown Road,Hueytown,35023,,2054911443,16510,1,0,0,0,-1,-1,-1,3,45000,13706,0,4395,63101,35462,0,35462,10295,12397,58154,NA,31239,NA,0,0,38,2000,NA,5782,75776,15,18
AL,0100,01,0100,501-011,Irondale,105 South 20th Street,Irondale,35210,,2059511415,9890,1,0,0,0,-1,-1,-1,5.8,150574,7293,0,6533,164400,78014,11976,89990,26619,36782,153391,8393,27292,1019,90,0,87,2575,NA,13276,63840,158,257
AL,0101,01,0101,501-012,Leeds,"802 Parkway Drive, SE",Leeds,35094,,2056995962,10110,1,0,0,0,-1,-1,-1,3.3,107721,5920,0,5879,119520,68838,0,68838,16398,34284,119520,NA,29516,683,197,522,90,2100,NA,11705,42465,194,396
AL,0102,01,0102,501-013,Midfield,400 Breland Drive,Midfield,35228,,2059231027,5890,1,0,0,0,-1,-1,-1,2.5,28150,5307,7072,769,41298,26180,3329,29509,5593,7042,42144,NA,17009,NA,0,417,30,2300,NA,476,22624,35,36
AL,0103,01,0103,501-014,Pleasant Grove,501 Park Road,Pleasant Grove,35127,,2057447221,8230,1,0,0,0,-1,-1,-1,2.9,40871,7196,0,4713,52780,23342,3435,26777,13869,7790,48436,4488,26122,214,0,2,30,1750,NA,9402,29382,70,89
